S.No,Name of Drugs/medical device/cosmetic,Batch No./Date of Manufacture/Date of Expiry/Manufactured By,Reason for failure,Drawn By / From
19.0,APVIL (Pheniramine Maleate Tablets I.P.),"B. No.: RT220155, Mfg dt: 02/2022, Exp dt: 01/2025, Mfd by: M/s. Ridley Life Science Pvt. Ltd., D- 1651, DSIDC, Indl. Complex, Narela, Delhi 110040.",Assay of Pheniramine Maleate,"CDSCO East Zone Kolkata, CDL Kolkata"
20.0,VASOCON 1 ml (Adrenaline Bitartrate Injection I.P.),"B. No.: KP85229, Mfg dt: 07/06/2022, Exp dt: 06/06/2023, Mfd by: M/s. Neon Laboratories Ltd., At Shantisthal, Plot No. 1- 5, At & post: Shirgaon, Tal Palghar, Dist. Thane 401 407, Maharashtra.",Description and Particulate Matter,"Drug Control Department Jammu & Kashmir, CDL Kolkata"
21.0,Hydrocort -100 (Hydrocortisone Sodium Succinate Injection I.P. 100 mg),"B. No.: AQH0039, Mfg dt: 07/2022, Exp dt: 06/2024, Mfd by: M/s. Aqua Vitoe Laboratories Plot No. 4, Village Kunjhal near Jharmajri Baddi, Dist. Solan 173205, Himachal Pradesh, India.",Clarity of Solution,"Drug Control Department Jammu & Kashmir, CDL Kolkata"
22.0,Lycopene with Vitamins and Minerals Syrup (CARORICH Syrup),"B. No.: NL-22057, Mfg dt: 08/2022, Exp dt: 01/2024, Mfd by: M/s. H.L. Healthcare Pvt. Ltd., Plot No. 25, Ind. Area, Phase-II, Gagret-177 201, Himachal Pradesh.",Assay of Vitamin E Acetate.,"Drug Control Department Himachal Pradesh, RDTL Chandigarh"
23.0,"Aceclofenac, Paracetamol and Thiocolchicoside Tablets (ELFEN- TH4 TABLETS)","B. No.: T-220621, Mfg dt: 06/2022, Exp dt: 05/2024, Mfd by: M/s. Vilin Bio Med Ltd, Unit-II, Khasra No. 85, Madhopur Hazarathpur, Roorkee- 247667, Uttarakhand.",Assay of Aceclofenac and Thiocolchicoside,"CDSCO North Zone, RDTL Chandigarh"
24.0,"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12)","B. No.: JBJM-099, Mfg dt: 11/2022, Exp dt: 10/2024, Mfd by: M/s. JBJM Parenterals Pvt. Ltd,, P- 24, Site-5, UPSIDC Industrial Area, Kasna, Greater Noida-201310, Uttar Pradesh.",Assay of Folic Acid.,"CDSCO North Zone, RDTL Chandigarh"
25.0,Nirmatrelvir Tablets 150 mg and Ritonavir Tablets IP 100 mg Combipack (Primovir Tablets),"B. No.: (A) NR-2204 (B) RT-2204, Mfg dt: 07/2022, Exp dt: 06/2024, Mfd by: M/s. Neutral Code: HP/06/176, Marketed by: Astrica HealthCare Pvt ltd. Plot No: 9-18/5, First Floor, Bharathi Nagar, Temple Alwal, Medchal, Telangana-500010.","Uniformity of weight, Identification and Assay of Nirmatrelvir.","Drug Control Department Delhi, RDTL Chandigarh"
26.0,"Vitamin C, Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12)","B. No.: JE-07, Mfg dt: 12/2022, Exp dt: 11/2024, Mfd by: M/s. SVP Lifesciences SARA Industrial Estate, Sector C 10/1, Selaqui, Rampur, Dehradun, U.K.",Identification and Assay of Folic Acid.,"CDSCO North Zone, RDTL Chandigarh"
27.0,"Vitamin C, Vitamin B12, Folic Acid and Nicotinamide Injection (Eldervit -12 Injection)","B. No.: RA2008, Mfg dt: 02/2022, Exp dt: 01/2024, Mfd by: M/s. Ronam Healthcare Pvt. Ltd., Village - Kalujhanda, Tehsil- Baddi, Distt.- Solan (H.P.) 174103.",Assay of Folic Acid,"CDSCO Sub-Zone, RDTL Chandigarh"
28.0,"Vitamin C, Vitamin B12, Folic Acid and Nicotinamide Injection (Eldervit -12 Injection)","B. No.: RA2156, Mfg dt: 12/2022, Exp dt: 11/2024, Mfd by: M/s. Ronam Healthcare Pvt. Ltd., Village - Kalujhanda, Tehsil- Baddi, Distt.- Solan (H.P.) 174103.",Assay of Folic Acid,"CDSCO Sub-Zone, RDTL Chandigarh"
