SI. No,Name of the Tablet,Mfd Date,Batch No,Exp Date,Mfd By,Reason for declared Spurious/ Counterfeit
18.0,Rosuvastatin Tablets IP 10 mg ROSUVAS 10,08/2024,SIF1947A,02/2027,"M/s.Sun Pharmaceutical Ind.Ltd, Room. No.210, 2nd Floor, Acme Plaza, Andheri-Kurla road, Opp.Sangam Cinema, Andher east, Mumbai-400059 At. Plot. No. 107-108, Namli Block, P.O.Ranipool, Gangtok, Sikkim- 737135.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
19.0,Rosuvastatin Tablets IP 40 mg ROSUVAS 40,12/2024,SIF2733A,05/2027,"M/s.Sun Pharmaceutical Ind.Ltd, Room. No.210, 2nd Floor, Acme Plaza, Andheri-Kurla road, Opp.Sangam Cinema, Andheri east, Mumbai-400059 At. Plot. No. 107-108, Namli Block, P.O.Ranipool, Gangtok, Sikkim- 737135.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
20.0,Tricagrelor Tablets 90 mg IP BRILINTA,11/2024,60050725,10/2027,"M/s.Astrazeneca AB, Gartunavagen, SE- 15257, Sobertalje, Sweden.Import & Mkd by: M/s.Astrazeneca Pharma India Limited, SY.NO 5-2/E, 12 th Mile on Bellary Road, Yelahanka, Bangalore-560063, India",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
21.0,Metformin and sitagliptin Tablet IP 500mg/50mg JANUMET,Aug 2025,JAA25047,Jul 2027,"M/s.MSD Pharmaceuticals Pvt Ltd, At.M/s. Recipharm Pharmaceuticals Pvt Ltd Khata No.845/713, and 1108/970/1, 34th K.M. Tumkur Road, T.Begur, Neelmangala, Bangalore rural- 562123.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
22.0,Progesterone Soft Gelatin Capsules 100 mg LUPIGEST-100,07/2024,BE4002A,06/2026,"M/s. Sterilgene life sciences Pvt Ltd, No.45, Mangalam Main Road, Mangalam Village, Villianur Commune, Puducherry-605110 Mkd by: Lupin Ltd, 159, C.S.T road, kalina, Santacruz (E), Mumbai-400 098, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
23.0,Progesterone Sustained Release Tablest 200 mg LUPIGEST SR200,06/2024,24S2HTA,05/2026,"M/s. Synomkem Pharmaceuticals Ltd, Plot. No.56-57, sector- 6A, I.1.E (SIDCUL), Ranipur (BHEL), Haridwar-249 403, Uttarkhand, India. Mkd by: Lupin Ltd, 159, C.S.T road, kalina, Santacruz (E), Mumbai-400 098, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
24.0,Glimepiride Tablets 1 mg GLADOR 1,04/2024,JA00983,03/2026,"M/s. Lupin Ltd, EPIP, SIDCO Industrial Estate, Kartholi, Bari Brahmana, Jammu, J& K-181133, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
25.0,Voglibose Tab ets IP VOLIBO 0.2,03/2023,SIE0644A,08/2025,"M/s.Sun Pharma Laboratories Ltd, Plot. No. 107-108, Namli Block, P.O, Ranipool, East Sikkim-737 135.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
26.0,Glimepiride Tablets IP AMARYL 2MG,01/25,SN6007,12/27,"M/s.Sanofi India Limited, L-121, Verna Industrial Estate, Verna, Goa-403 722.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
27.0,Betahistidine Tablets IP Vertin 16,11/24,RBIB24028,10/27,"Mfd by: M/s.Abott India Ltd, At Village bhauli Khurd, P.O, Baddi-173 205, Dist-Solan, H.P, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
28.0,Ranolazine Extended- Release Tablets RANOZEX,01/2024,SIF0261A,12/2025,"M/s. Sun Pharma Laboratories Ltd, Plot. No. 107-108, Namli Block, P.O, Ranipool, East Sikkim-737 135.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
29.0,Fexofenadine hydrochloride suspension Fexy suspension 30mg/5ml,09/2024,06LXX149,08/26,"Mfg by: M/s. Swiss garnier Life science, 21-23, Industrial area, Mehatpur, Dist. UNA, HP-174315 Mkd by: M/s.Lupin Ltd, 159, C.S.T, ROAD, Kalina, SantacurzSikkim- 737132, India",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
30.0,Salmeterol and fluticasone Propionate powder for Inhalation I.P ESIFLO 250 30 Capsules,06/2024,UA01395,05/2026,"M/s.Lupin ltd, 4th, Mile Bhasmey Karmarey, Bhasmey block, Duga ilaka, Sikkim-737 132, India",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
31.0,Budesonide Inhalation IP Budate 200 Transhaler With dose Indicator 200 Metered dose,04/2024,JA00936,03/26,"M/s.Lupin ltd, ERIP, SIDCO Industrial estate, kartholi, Bari Brahmana, Jammu (J&K)- 181133, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
32.0,Montelukast Desloratidine Tablets DESKAST,06/2024,SGXLO162,05/2026,"Mfg by: M/s. Swiss garnier Pvt Ltd (Unit- II), Plot. No.568-569, Tarpin Block, rhenock, east Sikkim-737 133, IndiaMkd . by:",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
33.0,Doxofylline (SR) and Montelukast Tablets DOXIFLO-M,06/2024,SGXL0166,05/2026,"M/s.Lupin Ltd, 159, C.S.T, ROAD, Kalina, Santacurz, Mumbai- 400098, India. Mfg by: M/s. Swiss garnier Pvt Ltd (Unit- II), Plot. No.568-569, Tarpin Block, rhenock, east Sikkim-737 133, India. Mkd by: M/s.Lupin Ltd, 159, C.S.T, ROAD, Kalina, Santacurz, Mumbai- 400098, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
34.0,Benzonatate Capsules USP BENZOPEARLS,05/2024,GLA24005,10/2025,"M/s Gelnova laboratories (india) Pvt ltd C-125 TTC Industrialarea, Mahape Navi Mumbai 400 703 India. Marketed by M/s. Lupin Ltd, 159, C.S.T, ROAD, Kalina, Santacurz, Mumbai- 400098, India",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
